_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,Random
ObjectId(59fe4394f57e7a66c03adfdb),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,o8ek2ZBhvMub4zD6H8BMu343dEUcDl,sZrd5zn7wR,12,randFromNumberOfSpades,1,0,,,,-3,6,-19,4,0,11,3,4,0,-72,0.02403861448
ObjectId(59fe2969f57e7a65e3a91a30),0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3egkDmedrV9E2mF68Bufx5aBNuV2q5,yztyb0OBxr,1,randFromNumberOfSpades,1,0,,,,0,0,0,0,0,11,2,1,1,-33,0.04527297781
ObjectId(59fe3037f57e7a66c03abd16),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ddmCXKAHWvI12udELNyCXnQy1puDmw,gvKzIuiTbw,12,randFromNumberOfSpades,4,0,5,7,4,-13,1,-7,4,0,17,0,1,0,-52,0.05997483267
ObjectId(59fe3ea9f57e7a66c03ad71b),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,U2qLkel9E16jMy3427pAiS0dQpLMCl,ECAhpJSvBo,12,randFromNumberOfSpades,1,0,,,,-61,7,-35,6,0,11,2,0,0,-87,0.1249951375
ObjectId(59fea357cfb0a004a05877fc),1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PVxgQwOzAaYXApn9usXRABpr72peuw,24TZuuXZZw,18,randFromNumberOfSpades,4,0,5,2,3,-22,8,-51,6,0,12,3,1,0,-53,0.2774045769
ObjectId(59fea1f9cfb0a004a0587283),1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,H1aqxZlLt9EyqGJfmHAKtddVvHHkyN,IMHxnAsByx,1,randFromNumberOfSpades,3,0,1,5,,0,0,0,0,0,15,2,9,1,18,0.4765357887
ObjectId(59fe4827f57e7a66c03ae82e),0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,JoJ9rC68DSSvYcGTfA2pBNJUVcy9KK,8AZeozwsdi,13,randFromNumberOfSpades,4,0,5,2,3,-46,6,-8,7,0,12,2,6,0,-79,0.4945394856
ObjectId(59fe3b22f57e7a66c03ad0c5),0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,nFg25HdYl4Paqr5s5JtaslzyESH42q,hRQtlw6PiN,2,randFromNumberOfSpades,3,0,Nil,4,,3,1,7,1,0,14,1,9,1,-59,0.5294834512
ObjectId(59fe2f22f57e7a66c03abb1d),0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,ddmCXKAHWvI12udELNyCXnQy1puDmw,b0fLTEG4mJ,3,randFromNumberOfSpades,3,0,2,4,,-5,1,-7,0,0,14,1,1,0,-52,0.531842407
ObjectId(59fe2922f57e7a65e3a91792),0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4f5ulvtPIl0SHoug2dtVwfYulah26B,WUFzbjLNsp,9,randFromNumberOfSpades,3,0,1,5,,-28,8,-14,4,0,15,2,4,0,-64,0.725644255
ObjectId(59fe40a1f57e7a66c03ada9d),0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,KScOYl53CrQdn4pJmZjRGrmRaGIxgD,v2AGCV9qU7,1,randFromNumberOfSpades,3,0,5,4,,0,0,0,0,0,14,1,1,0,-87,0.7954584314
ObjectId(59fe6af6b54a4500a21939fd),0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2TLKYd9ribThtZ3RwfIY9aH3csPgQ7,a0WokgWOIn,12,randFromNumberOfSpades,1,0,,,,-21,0,-28,0,0,13,3,5,1,-51,0.7974792448
ObjectId(59fe2789f57e7a65e3a90809),1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2UpmXEvBlyzaelBVrTUyml7B6kcUW,ej8RH6WO1C,5,randFromNumberOfSpades,2,0,2,,,-9,3,-15,0,0,14,0,7,0,-52,0.940470336
ObjectId(59fe36a2f57e7a66c03ac8ad),0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,42KreWXMPNaI8EgZDQxAtijhXmKewW,YbHVCIGN2W,4,randFromNumberOfSpades,3,5,5,3,,3,1,-11,4,5,8,0,6,0,-57,0.0007334433611
ObjectId(59fe40a1f57e7a66c03ada9c),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,KScOYl53CrQdn4pJmZjRGrmRaGIxgD,gnERRFiiAk,1,randFromNumberOfSpades,2,5,4,,,0,0,0,0,4,7,0,6,1,-23,0.008564609485
ObjectId(59fe29cbf57e7a65e3a91de9),0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,i1tHxkmDIjrZ9HBnB8oYikFACDKGBo,3bTBwIo0EE,8,randFromNumberOfSpades,2,5,Nil,,,-13,3,-7,6,7,8,3,8,1,2,0.02816761836
ObjectId(59fea128cfb0a004a0586f3b),0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,Ci7TYHiyLFPzNUcjThow6t1RpOhY2W,e5zRSEcd1Z,2,randFromNumberOfSpades,3,5,1,2,,-6,0,7,1,7,7,2,4,0,-58,0.0290158163
ObjectId(59fe33daf57e7a66c03ac3a6),0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,iq5ZWKDuyTv3gJ8vNXO4QGytz943O4,0D0lNfASa4,2,randFromNumberOfSpades,4,5,5,1,3,-13,0,-12,0,6,6,1,2,0,-56,0.03042904263
ObjectId(59fe3243f57e7a66c03ac0cd),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,3cUqzzxAi3Mpc7l1rvTl5y9B8VUYNH,igag8QF5Qx,10,randFromNumberOfSpades,3,5,6,1,,-25,7,-54,2,6,6,1,1,1,-54,0.04550090459
ObjectId(59fe6b61b54a4500a2193bbf),0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2TLKYd9ribThtZ3RwfIY9aH3csPgQ7,M3e6ZQUzA8,20,randFromNumberOfSpades,3,5,5,3,,-31,3,-47,9,7,8,2,5,1,-51,0.07629734694
ObjectId(59fe68c6b54a4500a2193105),0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,yRStPLqP9LuwSd8P5P6vAuMNZNoYw0,ke43MfvCy3,6,randFromNumberOfSpades,1,5,,,,-28,0,-14,3,6,9,0,8,1,-32,0.09268976305
ObjectId(59fea269cfb0a004a0587441),1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,PVxgQwOzAaYXApn9usXRABpr72peuw,24TZuuXZZw,1,randFromNumberOfSpades,1,5,,,,0,0,0,0,5,8,0,1,0,-53,0.09410340492
ObjectId(59fe9fddcfb0a004a05869fa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,MMQrXRFaj9t3lYcfytBmSEzMXovdIC,da4Fpa8vUA,10,randFromNumberOfSpades,2,5,2,,,-51,8,-11,1,6,6,3,1,0,-81,0.09610378071
ObjectId(59fe284cf57e7a65e3a90f79),1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,WiAiqqhVO7ky5oMyilnoRo06vtwVnc,Mp0yJZ7732,11,randFromNumberOfSpades,2,5,6,,,-5,3,-8,6,4,7,2,9,0,-51,0.1053695854
ObjectId(59fea0c8cfb0a004a0586db3),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9i5pzi03rslWmzDyBcOZgSFZYo5dtH,ccGQiSfGSv,6,randFromNumberOfSpades,3,5,3,2,,-49,3,-36,1,4,7,2,8,1,-25,0.1156794969
ObjectId(59fe48a4f57e7a66c03ae90e),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,JoJ9rC68DSSvYcGTfA2pBNJUVcy9KK,8AZeozwsdi,17,randFromNumberOfSpades,4,5,Nil,2,4,-44,8,-9,2,5,7,2,6,0,-79,0.1386792196
ObjectId(59fe2852f57e7a65e3a90fb2),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,WiAiqqhVO7ky5oMyilnoRo06vtwVnc,mkNypuVYfx,12,randFromNumberOfSpades,3,5,5,2,,2,5,-17,6,3,7,0,9,0,-51,0.1584447685
ObjectId(59fea285cfb0a004a05874b3),0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,PVxgQwOzAaYXApn9usXRABpr72peuw,24TZuuXZZw,3,randFromNumberOfSpades,3,5,5,4,,12,1,5,3,3,9,1,1,0,-53,0.1721875998
ObjectId(59fe2e4bf57e7a66c03ab995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,qkN6fYUUgRNJlHsViPTMHkraWdlTRz,7pf0Ko4yat,2,randFromNumberOfSpades,3,5,Nil,3,,-8,0,-16,0,7,8,1,8,1,9,0.1848128662
ObjectId(59fe699fb54a4500a2193485),0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,Qf5IHYdH7C9R14dwA5Rc48YlovNcVd,zlBaKMzC37,2,randFromNumberOfSpades,1,5,,,,-13,0,-14,0,6,8,3,3,0,-52,0.184931598
ObjectId(59fe69e5b54a4500a21935a0),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,Qf5IHYdH7C9R14dwA5Rc48YlovNcVd,zlBaKMzC37,7,randFromNumberOfSpades,4,5,5,2,2,-31,3,-32,1,4,7,0,3,0,-52,0.1960755889
ObjectId(59fea05acfb0a004a0586bf1),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,O7ag9mKkTge44EwYHCStrvxPsuOv5W,cooF5VyMHK,6,randFromNumberOfSpades,1,5,,,,-6,5,-42,2,7,9,0,5,1,2,0.2326525239
