_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore
ObjectId(59fe26d9f57e7a65e3a90140),1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,UWw2ncQaYv,1,randFromNumberOfSpades,1,0,,,,0,0,0,0,2,-16,0,3,0,-55
ObjectId(59fe26d9f57e7a65e3a90141),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,DnHMdszUYj,1,randFromNumberOfSpades,2,5,Nil,,,0,0,0,0,4,-8,0,7,1,7
ObjectId(59fe26daf57e7a65e3a90142),0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,3N5bXlodMn,1,randFromNumberOfSpades,3,6,5,Nil,,0,0,0,0,4,-16,0,3,0,-55
ObjectId(59fe26daf57e7a65e3a90143),0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,kknzXyHRBEsa49cQiZG0TWUxzuXjob,Hil4kn4uad,1,randFromNumberOfSpades,4,3,6,5,Nil,0,0,0,0,2,-8,0,7,1,7
ObjectId(59fe26dff57e7a65e3a90178),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,kknzXyHRBEsa49cQiZG0TWUxzuXjob,DnHMdszUYj,2,randFromNumberOfSpades,1,4,,,,-8,0,-16,0,7,6,2,7,1,7
ObjectId(59fe26dff57e7a65e3a90179),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,3N5bXlodMn,2,randFromNumberOfSpades,2,6,4,,,-16,0,-8,0,1,-8,0,3,0,-55
ObjectId(59fe26dff57e7a65e3a9017a),0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,Hil4kn4uad,2,randFromNumberOfSpades,3,2,6,4,,-8,0,-16,0,1,6,2,7,1,7
ObjectId(59fe26e0f57e7a65e3a9017b),1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,UWw2ncQaYv,2,randFromNumberOfSpades,4,2,2,6,4,-16,0,-8,0,4,-8,0,3,0,-55
ObjectId(59fe26e5f57e7a65e3a901b0),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,kknzXyHRBEsa49cQiZG0TWUxzuXjob,3N5bXlodMn,3,randFromNumberOfSpades,1,4,,,,-24,0,-2,2,6,-10,0,3,0,-55
ObjectId(59fe26e5f57e7a65e3a901b1),0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,Hil4kn4uad,3,randFromNumberOfSpades,2,4,4,,,-2,2,-24,0,1,5,0,7,1,7
ObjectId(59fe26e5f57e7a65e3a901b2),0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,UWw2ncQaYv,3,randFromNumberOfSpades,3,6,4,4,,-24,0,-2,2,2,-10,0,3,0,-55
ObjectId(59fe26e6f57e7a65e3a901b3),0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,DnHMdszUYj,3,randFromNumberOfSpades,4,1,6,4,4,-2,2,-24,0,4,5,0,7,1,7
ObjectId(59fe26ebf57e7a65e3a901e8),0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,kknzXyHRBEsa49cQiZG0TWUxzuXjob,Hil4kn4uad,4,randFromNumberOfSpades,1,6,,,,3,2,-34,0,5,7,1,7,1,7
ObjectId(59fe26ebf57e7a65e3a901e9),0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,UWw2ncQaYv,4,randFromNumberOfSpades,2,2,6,,,-34,0,3,2,4,3,2,3,0,-55
ObjectId(59fe26ebf57e7a65e3a901ea),0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,kknzXyHRBEsa49cQiZG0TWUxzuXjob,DnHMdszUYj,4,randFromNumberOfSpades,3,1,2,6,,3,2,-34,0,3,7,1,7,1,7
