_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore,learningVersion
ObjectId(5a120606e10a9b00012a8366),1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,9kBEGTuxN1,1,nn,1,3,,,,0,0,0,0,1,-6,0,4,,13,0.2
ObjectId(5a120606e10a9b00012a8367),0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,jEoUsC6cHd,1,nn,2,3,3,,,0,0,0,0,3,6,2,8,,54,0.2
ObjectId(5a120606e10a9b00012a8368),0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,Y6RY3HxQZY,1,nn,3,3,3,3,,0,0,0,0,3,-6,0,4,,13,0.2
ObjectId(5a120606e10a9b00012a8369),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,dKhOda7MaNPgviIWcaextWw1iiEnmt,QIvY4axwSs,1,nn,4,3,3,3,3,0,0,0,0,5,6,2,8,,54,0.2
ObjectId(5a120608e10a9b00012a839e),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,dKhOda7MaNPgviIWcaextWw1iiEnmt,jEoUsC6cHd,2,nn,1,1,,,,6,2,-6,0,4,3,6,8,,54,0.2
ObjectId(5a120608e10a9b00012a839f),0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,Y6RY3HxQZY,2,nn,2,3,1,,,-6,0,6,2,3,-6,0,4,,13,0.2
ObjectId(5a120608e10a9b00012a83a0),0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,QIvY4axwSs,2,nn,3,2,3,1,,6,2,-6,0,5,3,6,8,,54,0.2
ObjectId(5a120608e10a9b00012a83a1),1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,9kBEGTuxN1,2,nn,4,3,2,3,1,-6,0,6,2,1,-6,0,4,,13,0.2
ObjectId(5a12060be10a9b00012a83d6),0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,Y6RY3HxQZY,3,nn,1,1,,,,-12,0,9,8,3,4,0,4,,13,0.2
ObjectId(5a12060be10a9b00012a83d7),0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,dKhOda7MaNPgviIWcaextWw1iiEnmt,QIvY4axwSs,3,nn,2,3,1,,,9,8,-12,0,6,6,3,8,,54,0.2
ObjectId(5a12060be10a9b00012a83d8),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,dKhOda7MaNPgviIWcaextWw1iiEnmt,9kBEGTuxN1,3,nn,3,3,3,1,,-12,0,9,8,1,4,0,4,,13,0.2
